Year,Month,State,Generation
2013,Oct,MN,338.1688
2013,Nov,MN,468.69495
2013,Dec,MN,607.33202
2013,Jan,MO,387.04577
2013,Feb,MO,313.04736
2013,Mar,MO,493.48088
2013,Apr,MO,230.8521
2013,May,MO,401.62698
2013,Jun,MO,411.12532
2013,Jul,MO,529.41523
2013,Aug,MO,419.6075
2013,Sep,MO,422.95394
2013,Oct,MO,223.58738
2013,Nov,MO,175.97463
2013,Dec,MO,390.91061
2013,Jan,MS,3147.82093
2013,Feb,MS,2564.83135
2013,Mar,MS,2340.83315
2013,Apr,MS,1834.78048
2013,May,MS,2292.88444
2013,Jun,MS,3258.12116
2013,Jul,MS,3229.26395
2013,Aug,MS,3423.51856
2013,Sep,MS,2392.80251
2013,Oct,MS,2380.83152
2013,Nov,MS,2346.77032
2013,Dec,MS,2564.43014
2013,Jan,MT,66.89794
2013,Feb,MT,53.7991
2013,Mar,MT,40.86024
2013,Apr,MT,68.17101
2013,May,MT,16.57175
2013,Jun,MT,57.66318
2013,Jul,MT,101.25562
2013,Aug,MT,42.1577
2013,Sep,MT,25.46164
2013,Oct,MT,16.14448
2013,Nov,MT,47.68337
2013,Dec,MT,77.56522
2013,Jan,NC,2277.58349
2013,Feb,NC,2057.69289
2013,Mar,NC,2229.44102
2013,Apr,NC,2000.53504
2013,May,NC,2200.33882
2013,Jun,NC,2379.08617
2013,Jul,NC,2609.31179
2013,Aug,NC,2662.23132
2013,Sep,NC,2520.24837
2013,Oct,NC,2124.70279
2013,Nov,NC,2188.06004
2013,Dec,NC,2733.27736
2013,Jan,ND,1.20408
2013,Feb,ND,1.04648
2013,Mar,ND,1.47966
2013,Apr,ND,1.11725
2013,May,ND,1.28705
2013,Jun,ND,1.30715
2013,Jul,ND,2.20732
2013,Aug,ND,1.9874
2013,Sep,ND,9.05199
2013,Oct,ND,4.75445
2013,Nov,ND,11.52748
2013,Dec,ND,17.22436
2013,Jan,NE,2.85687
2013,Feb,NE,4.58331
2013,Mar,NE,8.54974
2013,Apr,NE,11.49963
2013,May,NE,22.05761
