Year,Month,State,Generation
2013,Jun,NV,568.31661
2013,Jul,NV,635.62572
2013,Aug,NV,575.84045
2013,Sep,NV,406.60821
2013,Oct,NV,274.38885
2013,Nov,NV,326.52232
2013,Dec,NV,506.47052
2013,Jan,NY,585.47116
2013,Feb,NY,658.29719
2013,Mar,NY,607.98913
2013,Apr,NY,243.30052
2013,May,NY,373.86416
2013,Jun,NY,288.62749
2013,Jul,NY,577.33844
2013,Aug,NY,260.60614
2013,Sep,NY,176.80281
2013,Oct,NY,192.52721
2013,Nov,NY,165.02239
2013,Dec,NY,567.2581
2013,Jan,OH,8044.08214
2013,Feb,OH,7747.73452
2013,Mar,OH,8133.03711
2013,Apr,OH,7490.58066
2013,May,OH,7697.06501
2013,Jun,OH,7711.30505
2013,Jul,OH,8635.08448
2013,Aug,OH,8987.38858
2013,Sep,OH,7451.03707
2013,Oct,OH,6730.66777
2013,Nov,OH,6878.82941
2013,Dec,OH,9057.07303
2013,Jan,OK,2568.5466
2013,Feb,OK,2186.8518
2013,Mar,OK,2138.09372
2013,Apr,OK,1997.95291
2013,May,OK,2381.77
2013,Jun,OK,2403.15141
2013,Jul,OK,3026.40299
2013,Aug,OK,3004.88372
2013,Sep,OK,2749.65045
2013,Oct,OK,2123.44381
2013,Nov,OK,2598.21715
2013,Dec,OK,2820.48395
2013,Jan,OR,405.06946
2013,Feb,OR,358.45823
2013,Mar,OR,378.45299
2013,Apr,OR,187.98046
2013,May,OR,93.94792
2013,Jun,OR,345.32639
2013,Jul,OR,6.24066
2013,Aug,OR,410.81792
2013,Sep,OR,374.53129
2013,Oct,OR,401.34696
2013,Nov,OR,395.11613
2013,Dec,OR,401.70733
2013,Jan,PA,8165.40598
2013,Feb,PA,7700.57258
2013,Mar,PA,8114.37016
2013,Apr,PA,6985.42636
2013,May,PA,7773.43008
2013,Jun,PA,8020.54069
2013,Jul,PA,9020.9532
2013,Aug,PA,7307.65124
2013,Sep,PA,6914.95515
2013,Oct,PA,5070.69878
2013,Nov,PA,5614.8756
2013,Dec,PA,7754.32915
2013,Jan,RI,
2013,Feb,RI,
2013,Mar,RI,
2013,Apr,RI,
2013,May,RI,
2013,Jun,RI,
2013,Jul,RI,
2013,Aug,RI,
2013,Sep,RI,
2013,Oct,RI,
2013,Nov,RI,
2013,Dec,RI,
2013,Jan,SC,2083.39303
2013,Feb,SC,1893.24245
2013,Mar,SC,2135.78314
2013,Apr,SC,1608.58804
2013,May,SC,1839.05843
2013,Jun,SC,2193.1607
2013,Jul,SC,2177.40407
2013,Aug,SC,2213.22558
2013,Sep,SC,2037.53868
2013,Oct,SC,1931.16268
2013,Nov,SC,2226.13389
2013,Dec,SC,2068.45709
2013,Jan,SD,302.44116
2013,Feb,SD,244.49605
2013,Mar,SD,278.57478
2013,Apr,SD,210.29379
2013,May,SD,126.97247
2013,Jun,SD,234.69979
