Year,State,Plant Code,Aggregated Fuel Group,Generation,Emission
2013,CA,7231,GAS,952000.0,867.672
2013,CA,7232,GAS,49592000.0,47432.0925
2013,CA,7266,GAS,494776000.0,256873.266
2013,CA,7307,GAS,146888000.0,76450.72499999999
2013,CA,7315,GAS,161120000.0,99976.5
2013,CA,7449,GAS,1744000.0,977.769
2013,CA,7450,GAS,274000.0,275.9445
2013,CA,7451,GAS,329000.0,308.9385
2013,CA,7452,GAS,852000.0,1029.7755
2013,CA,7527,GAS,386486522.0,208664.118
2013,CA,7551,GAS,826208000.0,417963.66300000006
2013,CA,7552,GAS,817006000.0,392542.78050000005
2013,CA,7693,GAS,93869000.0,51664.9185
2013,CA,7824,GAS,943635.0,808.8795
2013,CA,7987,GAS,12325000.0,8279.037
2013,CA,8076,GAS,1073000.0,845.5005
2013,CA,10002,COAL,318452707.0,438409.8236
2013,CA,10002,GAS,1748293.0,1336.491
2013,CA,10026,GAS,751755.0,502.866
2013,CA,10031,GAS,15467000.0,17027.361
2013,CA,10034,GAS,125051000.0,65989.8135
2013,CA,10042,GAS,0.0,19631.664
2013,CA,10048,GAS,24385000.0,21457.8
2013,CA,10052,GAS,2392931.0,2423.7135
2013,CA,10090,GAS,3398866.0,3409.497
2013,CA,10091,GAS,7806115.0,6576.804
2013,CA,10110,GAS,26611000.0,31478.7915
2013,CA,10115,GAS,5271000.0,5.616
2013,CA,10156,GAS,43904000.0,27019.3365
2013,CA,10168,GAS,362292000.0,224583.6645
2013,CA,10169,GAS,280088470.0,142948.9035
2013,CA,10175,GAS,978040.0,780.975
2013,CA,10206,GAS,68654850.0,68654.196
2013,CA,10213,GAS,1046035423.0,812660.2965
2013,CA,10262,GAS,74956750.0,48849.5475
2013,CA,10294,GAS,409742000.0,209686.815
2013,CA,10300,GAS,7317601.0,7033.923
2013,CA,10342,GAS,739924000.0,414158.7645
2013,CA,10349,GAS,264182000.0,152405.955
2013,CA,10350,GAS,21634000.0,100475.388
2013,CA,10395,GAS,11044.0,14.157
2013,CA,10405,GAS,29024000.0,17927.325
2013,CA,10427,GAS,272692000.0,225869.9625
2013,CA,10437,GAS,2579000.0,3044.6325
2013,CA,10438,GAS,13251000.0,11081.304
2013,CA,10439,GAS,5354000.0,5245.461
2013,CA,10440,GAS,4982000.0,5238.792
2013,CA,10441,GAS,4775000.0,5222.9385
2013,CA,10442,GAS,6128000.0,5152.446
2013,CA,10443,GAS,6290000.0,5217.7905
2013,CA,10444,GAS,16670000.0,13093.5285
2013,CA,10446,GAS,14774000.0,11664.081
2013,CA,10471,GAS,46201.0,41.8275
2013,CA,10478,GAS,198076000.0,109024.4025
2013,CA,10496,GAS,1284981000.0,922971.7575
2013,CA,10501,GAS,294634000.0,229800.285
2013,CA,10502,GAS,2501423.0,2564.055
2013,CA,10548,GAS,35124000.0,31300.659
2013,CA,10600,GAS,10177000.0,119192.2875
2013,CA,10623,GAS,127733000.0,103911.093
2013,CA,10635,GAS,129579000.0,73815.183
2013,CA,10649,GAS,221922000.0,120728.088
2013,CA,10650,GAS,247299000.0,136521.7425
2013,CA,10652,GAS,6958037.0,8086.0455
2013,CA,10684,COAL,354287012.0,1558779.4272
2013,CA,10684,GAS,7144537.0,17990.6805
2013,CA,10720,GAS,12186000.0,8338.2975
2013,CA,10767,GAS,1439895.0,1230.372
2013,CA,10768,COAL,54151485.0,73819.4464
2013,CA,10768,GAS,4934125.0,3922.4835
2013,CA,10769,COAL,96279752.0,126533.5388
2013,CA,10772,GAS,661157.0,618.228
2013,CA,10776,GAS,166291000.0,88218.117
2013,CA,10777,GAS,172656.0,149.292
2013,CA,10810,GAS,190777000.0,118441.4985
2013,CA,10811,GAS,352098360.0,211546.764
2013,CA,10812,GAS,295616000.0,171129.5235
2013,CA,10820,GAS,1711958.0,1379.196
2013,CA,10836,GAS,407005.0,416.52
2013,CA,10837,GAS,619769.0,514.2735
2013,CA,10850,GAS,82355000.0,51559.6185
